,robotiq_force_sensor.wrench.force.norm,robotiq_force_sensor.wrench.torque.norm,baxter_enpoint_pose.twist.linear.norm,baxter_enpoint_pose.twist.angular.norm,tactile_static_data.left.std,tactile_static_data.right.std
1527174272.04,1.5226096839699244,0.07801536849176816,0.017637273555759305,0.0274979162437103,0.0,16.70449716084571
1527174272.09,1.6391178303214304,0.07750481732494445,0.02045715571491764,0.03004248299237876,0.0,15.784969411750232
1527174272.14,1.7236264838869513,0.08055915275751979,0.020470010238824103,0.028101480364232066,0.0,15.371969671501263
1527174272.19,1.4659010152348015,0.08566440638826042,0.01527957596701117,0.024949234955357242,0.0,14.649238936857776
1527174272.24,1.445082830117859,0.08787602880794147,0.016371336166863322,0.027507920602313336,0.0,14.458617752266978
1527174272.29,1.6569540471765078,0.08877125965121307,0.016042987816755186,0.0263729177730302,0.0,14.862333396938654
1527174272.34,1.6592036586341279,0.0887424149595348,0.013200242519923765,0.024374826384894986,0.0,15.058371810680473
1527174272.39,1.850906006293732,0.08258020207676653,0.01184441241312316,0.02564741743997289,0.0,15.973667940125479
1527174272.44,1.7789837619364408,0.07799935361885073,0.012418440645005826,0.025780136044531506,0.0,16.82706964000959
1527174272.49,1.6717675324186547,0.07732589786250998,0.012969566377571542,0.023873927340154005,0.0,16.92563527207846
1527174272.54,1.4487921440036688,0.0768039406609093,0.014773218150043895,0.027488062522667566,0.0,18.107270172264787
1527174272.59,1.3949535374387751,0.08119863418683382,0.013196590050521966,0.02674771232168738,0.0,18.062961570017915
1527174272.64,1.2088614275248069,0.0857333179668631,0.01441154834060552,0.02592133387209501,0.0,16.316958687346336
1527174272.69,1.383632638605173,0.09094452314207482,0.013639038059163042,0.02456407375502845,0.0,15.62696835312156
1527174272.74,1.540317367655896,0.08863674843001809,0.011909202969808576,0.02225935463869652,0.0,15.604847346096697
1527174272.79,1.6510352217500728,0.08950071171588786,0.01050694052475672,0.018381520239475445,0.0,15.027343596937763
1527174272.84,1.702396510704786,0.0853415125389355,0.013907097979192106,0.021214165216432625,0.0,15.24183754940061
1527174272.89,1.9214878267700979,0.084582929511305,0.012647467985735428,0.01994026760972219,0.0,16.528270266152678
1527174272.94,2.126412939544416,0.08485084028993009,0.015116151191030339,0.023553495377279663,0.0,16.40032403487737
1527174272.99,2.311152371372662,0.08733666708715489,0.01691266050829297,0.025714668659478523,0.0,16.210752351258684
1527174273.04,2.1873774691669183,0.08635014596951478,0.018257746049959674,0.03340510473893917,0.0,16.24874691870494
1527174273.09,2.161156128982376,0.08668558481548432,0.015960644649206664,0.030366656335835976,0.0,16.019008530206772
1527174273.14,2.08166136929828,0.08864792016260004,0.015398403556862915,0.028767367677194625,0.0,15.23795710966329
1527174273.19,1.8381446803586288,0.08524328193710146,0.011817743075865675,0.02148141444743165,0.0,14.92463489601186
1527174273.24,1.762050796690322,0.08848305671629182,0.009722448646330744,0.01948848994886368,0.0,14.837403185613265
1527174273.29,2.0270430291996067,0.09288897153810033,0.00839026252002363,0.011964625701000518,0.0,14.195515299613007
1527174273.34,2.1214713313348823,0.09616825833625078,0.009404478960248281,0.0137266860188513,0.0,14.58367240720443
1527174273.39,2.002648717948523,0.0932830029729577,0.009421510619801251,0.016281774177016945,0.0,15.028258657118677
1527174273.44,2.036324981701004,0.09298225284272854,0.012172588600724345,0.021306389406414356,0.0,15.059298300431761
1527174273.49,1.9926394195662225,0.09061433405580371,0.01366443374624297,0.023559690792265105,0.0,15.18489713168308
1527174273.54,1.7992469782567209,0.08832368154638774,0.013141129829133378,0.02415660111583547,0.0,15.909624619189728
1527174273.59,1.6259566902984193,0.08572821762105033,0.011568996597534477,0.021089226195822975,0.0,17.27731471996856
1527174273.64,1.824187418032013,0.08556194075325646,0.01407484339557805,0.020188440674483835,0.0,18.644787277441697
1527174273.69,1.8271620777944386,0.08669156661959954,0.011119872219969492,0.015636954517555927,0.0,18.895769809472885
1527174273.74,1.7108382434882616,0.08815133759424673,0.010430703187379792,0.015822118123581412,0.0,18.28331431797496
1527174273.79,1.7963919439021026,0.0847663750472233,0.012237765593532447,0.01842226421019495,0.0,18.061765251650822
1527174273.84,1.9669643779118366,0.08258866966850711,0.01393036589065301,0.01907940618396217,0.0,17.243274883509645
1527174273.89,2.076701289903307,0.08546451439769039,0.013924892107681709,0.020563888018254647,0.0,16.21267193347112
1527174273.94,2.134624709090968,0.08552591644920242,0.014081818061667346,0.021800132846965654,0.0,16.20420762829264
1527174273.99,2.0352413336281208,0.08156169103562345,0.012318462706591295,0.024612734267395346,0.0,16.955026712796904
1527174274.04,1.9530723772657614,0.08456079330887568,0.01454065026625749,0.026391425701661655,0.0,16.87170694851593
1527174274.09,1.7420080289939637,0.08464582583574416,0.017088442701161163,0.029439198901166364,0.0,15.763721051724112
1527174274.14,1.4998517090014152,0.07989901332969505,0.031049549038887975,0.0633638172561962,0.0,15.28957093412335
1527174274.19,1.3577885510157341,0.0746123855849924,0.048229720199930395,0.09846797763941066,0.0,15.28337190583718
1527174274.24,1.2343145639012654,0.0749555578300967,0.07016823744750567,0.12747986524939753,0.0,14.947109190269472
1527174274.29,1.0513907017037603,0.0712976089134781,0.07450663867372104,0.1460137586070052,0.0,14.85133841750829
1527174274.34,0.9155953983167814,0.07156941272429056,0.07722696147707686,0.17128671298950135,0.0,14.948145961017179
1527174274.39,0.7910827047490196,0.07436059540385788,0.06832823973746521,0.15473816472573404,0.0,15.03758683025399
1527174274.44,0.9914793090707408,0.07820620622840642,0.05979401637690535,0.13672090779945006,0.0,16.010943576277263
1527174274.49,1.411745123107211,0.08096965659377743,0.04479339772716663,0.11651551351431501,0.0,16.347030254348603
1527174274.54,1.8057925923612241,0.08415160996243151,0.04487295849927311,0.11344493859662046,0.0,16.481746941725596
1527174274.59,1.8638346164193793,0.08458790743357449,0.045913536041293446,0.10649786653131933,0.0,16.452607938026645
1527174274.64,1.8522266037385482,0.0814623841538718,0.04754459673892758,0.11087931767690173,0.0,16.691350240214206
1527174274.69,1.619218330979005,0.07542418066653114,0.0509972658212709,0.11480242320317273,0.0,15.9073565455239
1527174274.74,1.2941343892718085,0.06812830776518,0.057735609083560034,0.1430015701915551,0.0,16.049792660764815
1527174274.79,1.1142718207981737,0.05860556654689366,0.07142691744713049,0.17554238087105573,0.0,15.150954845251693
1527174274.84,1.2614278937217978,0.05875294521008102,0.0920909293148813,0.21410512726840783,0.0,14.60041422468917
1527174274.89,1.5351935930922858,0.060193116496119185,0.1121094906495971,0.24064305726056118,0.0,13.845179325778071
1527174274.94,1.868287075452351,0.06593023617883159,0.13741368869305864,0.28398755867893155,0.0,13.70858367957313
1527174274.99,2.064898083298237,0.0680530446929225,0.15868689913413078,0.32861793720586463,0.0,12.960366433172757
1527174275.04,2.039249999377504,0.07470838480932336,0.1797017903234094,0.35096074012157574,0.0,13.873975303780036
1527174275.09,2.489799918077853,0.07565573020687999,0.19993053682128636,0.36575007152542105,0.0,14.422436669057484
1527174275.14,2.1313666013355066,0.07414716197824985,0.2094210749789784,0.3731814687958049,0.0,15.832071241534642
1527174275.19,2.0742253949762186,0.07409605925549774,0.20430472285281168,0.36647244942464974,0.0,16.039119228173725
1527174275.24,2.0729786360014564,0.07625244105184352,0.19611084029245388,0.366480305837863,0.0,16.309937105082295
1527174275.29,2.2693881190154763,0.0832287789204395,0.18091051632888056,0.37806065288512375,0.0,16.491430885374456
1527174275.34,1.6599587082043785,0.07221243489483668,0.17033898009069623,0.38534362724364096,0.0,17.057126054354633
1527174275.39,2.120882985170705,0.07438382350189328,0.1735765310291766,0.4183067392581529,0.0,16.862187233962985
1527174275.44,2.2212307014940946,0.07435881088385705,0.1820719879545525,0.433418203876748,0.0,16.514824595313126
1527174275.49,2.412333753173755,0.07947776154490527,0.20614337462011795,0.41726728390236983,0.0,17.633333781647554
1527174275.54,2.4545078303895287,0.07719633417425315,0.20882858412462635,0.4266593951838652,0.0,17.903967288333856
1527174275.59,2.5445765701075427,0.08678283588891969,0.20976305239435933,0.4178689232658398,0.0,17.424404363735302
1527174275.64,2.376916444785384,0.09242927544899825,0.20397278769156513,0.39273039312689273,0.0,16.944861686556226
1527174275.69,2.054822218480464,0.0886645559093456,0.19360863634959144,0.39965539999818694,0.0,17.03144881421067
1527174275.74,2.0291742186794854,0.08426051317193009,0.18141206688966385,0.40724739109437424,0.0,16.10747872165295
1527174275.79,1.499305295481463,0.0795843930083578,0.18488256478865023,0.37457470522239306,0.0,15.271884058281648
1527174275.84,1.599802289501081,0.07853930660479788,0.18132812356558958,0.38526159536064397,0.0,15.333483438091662
1527174275.89,1.72395234129074,0.07645631049866894,0.17593611018356817,0.37834067523666287,0.0,14.681164812533073
1527174275.94,1.8271547696584207,0.07496115257463651,0.1787895870703478,0.36688720072791364,0.0,14.729877214954236
1527174275.99,1.8597691856006555,0.07815598824258922,0.17752612363954065,0.3862535293986698,0.0,14.337917116987542
1527174276.04,2.3009024935157636,0.0795858139228212,0.1729442090921409,0.3808321077568995,0.0,14.633034514261203
1527174276.09,2.1337626743116345,0.07891576701600518,0.16641523867029748,0.35750839407423196,0.0,15.262503276193973
1527174276.14,1.7365211412631705,0.07596521406323549,0.1599810967611514,0.3609580075917953,0.0,16.20045252891671
1527174276.19,1.8415639058267574,0.08629144083139292,0.1469278744182059,0.33323397437506364,0.0,17.014447268634072
1527174276.24,1.597243309527707,0.08120281011385892,0.13066093449802646,0.2812489847827576,0.0,17.77820981237836
1527174276.29,1.5107393339505524,0.08348345119686867,0.11883394891747827,0.24882420527211627,0.0,18.032176798542878
1527174276.34,1.7458396161621688,0.08724104539307977,0.11081722452380335,0.21378966420237305,0.0,17.5708576752911
1527174276.39,1.851233923260397,0.08588777088882928,0.10219858245209842,0.17698426752858537,0.0,17.36264883083798
1527174276.44,1.872710611238762,0.08020578384827734,0.08997098558943309,0.1830147610919814,0.0,17.350952826216243
1527174276.49,1.7672210774268204,0.08375243598646562,0.07708792877468945,0.18519851679002347,0.0,17.3860504229567
1527174276.54,1.6521537777235544,0.07251389789372813,0.08224945320499141,0.21429043678497325,0.0,18.104447242471892
1527174276.59,1.6522422327277329,0.06926599825547583,0.08566664491911055,0.22579596857154408,0.0,17.62778355667096
1527174276.64,1.7982121291150177,0.06547143412957439,0.09891459091086878,0.23899953798694576,0.0,17.985997378828515
1527174276.69,1.630399904561513,0.06501329050541209,0.11945983142125079,0.23006035897740126,0.0,16.481008046635704
1527174276.74,1.7396356543712461,0.058953165364460214,0.1304782012453182,0.22612385386222864,0.0,16.0854028169236
1527174276.79,1.5666383186439468,0.06587427327081176,0.12689157001011842,0.21210518549475832,0.0,15.363229290275799
1527174276.84,1.4088491190259713,0.06753334467545594,0.11291117062407979,0.20981060375986815,0.0,16.187743938449447
1527174276.89,1.5904603063440506,0.0688043874326669,0.09524326797238591,0.21436332827685586,0.0,16.301472535459077
1527174276.94,1.626403487011568,0.06679486589149618,0.08006538826824118,0.24544963287148536,0.0,16.957507749368514
1527174276.99,1.7347909926524474,0.06517006769320693,0.08247702015824225,0.24959697794329744,0.0,17.65329016049407
1527174277.04,1.8875381505269702,0.06163227875059839,0.08801162577067972,0.2675772771423816,0.0,17.141960217125927
1527174277.09,1.8383658945919386,0.057131001305910555,0.10481995979596065,0.27751081296600644,0.0,17.315065798677335
1527174277.14,1.4858139804816708,0.06273802875982128,0.11617450335355002,0.2846467246078842,0.0,17.217906775032173
1527174277.19,1.3566927471724701,0.06256756559970755,0.11920745355204511,0.2585164181315003,0.0,17.984783465476657
1527174277.24,1.1544070389641454,0.06857759072654754,0.11719661126619366,0.25706419778926914,0.0,17.509216037600982
1527174277.29,1.2073961266543654,0.0707722621278875,0.11362200716677584,0.23306978545538723,0.0,18.140577286036546
1527174277.34,1.2792705343156006,0.06843307885120203,0.10476069001999792,0.2226154720453301,0.0,17.424121545826377
1527174277.39,1.5616273914695715,0.06518278772915351,0.09245906182599115,0.2013730665265645,0.0,17.08476993855231
1527174277.44,1.9824482330684032,0.06715251111978454,0.0861367436912223,0.180558581596288,0.0,16.485883988670725
1527174277.49,2.193872890066247,0.06645013184964539,0.0774905142517605,0.1571024047208828,0.0,16.122980518982352
