,robotiq_force_sensor.wrench.force.norm,robotiq_force_sensor.wrench.torque.norm,baxter_enpoint_pose.twist.linear.norm,baxter_enpoint_pose.twist.angular.norm,tactile_static_data.left.std,tactile_static_data.right.std
1528631714.06,4.048415068404381,0.05946287270671238,0.014265813133463355,0.028719324439872664,180.3244700534959,171.72974760087848
1528631714.11,4.235790334654316,0.05973732154577474,0.015275859372798448,0.024984114489731455,181.37595764248738,171.74374463698092
1528631714.16,4.10579672440665,0.05144964840599421,0.016825183162410943,0.028656206751791622,181.3204196991114,172.38533016468392
1528631714.21,3.807133479799579,0.053018784756405694,0.015663477375590613,0.027855732848797114,181.00181368126673,172.08095321042478
1528631714.26,3.5119239767518664,0.05223568629760994,0.016619484496547418,0.028418202224869037,180.2626580293682,172.3063822502937
1528631714.31,3.2543808040754953,0.05583508774127761,0.01695733480957774,0.030444169822191097,179.21677014061345,172.6473626632888
1528631714.36,3.4375318993125075,0.049738030698655254,0.016663757001058117,0.032244729373931615,178.72457798052974,172.47338380508072
1528631714.41,4.015696978062495,0.05192599830735977,0.011920426776990515,0.022587175024920372,178.68123283639136,171.76366577252355
1528631714.46,4.883640408213502,0.04586951609629557,0.010023813184525908,0.020249418234210764,179.26340179463526,171.60317825336563
1528631714.51,5.705909260819334,0.04008325366712923,0.007732539291016197,0.020245233366929467,179.36865375169603,171.12443851060638
1528631714.56,6.11605549173266,0.037469254863212606,0.009318616874566261,0.023563560166618883,179.68385555966339,171.42685019515105
1528631714.61,5.925112189859505,0.043508446087938406,0.00827492495346555,0.018788585308086535,179.6393003439885,171.55388604206146
1528631714.66,5.3267505506166035,0.04656270276389353,0.009887122329087228,0.023841085834909848,180.33361166482945,171.58910646456044
1528631714.71,4.8506242231347025,0.048300524605415056,0.009909566983385135,0.023734445582286497,179.6936097187973,171.50663428192863
1528631714.76,4.216265613597518,0.04691613972758624,0.011785907297909437,0.025509473883131233,179.86068622410022,170.75154173927692
1528631714.81,3.9799158962530123,0.04265653868725486,0.011872239347743275,0.026845134806402157,180.1675483321806,169.89874599173206
1528631714.86,4.013617958172846,0.040501001621069725,0.014118785517342256,0.02904615921906373,180.88085692336108,170.0563309542367
1528631714.91,4.164765125069133,0.04570313269410568,0.012420652852392682,0.025389758140518776,180.3940349001529,170.14848028539095
1528631714.96,3.9155803349889022,0.05262131631124732,0.013250957515523375,0.027290225480618543,180.26471925234887,169.48944171234865
1528631715.01,3.962347844047645,0.0581216309557903,0.01582682589215453,0.031128609849811844,179.8034686779131,169.72330182347656
1528631715.06,3.835487956327791,0.06246461789377789,0.016068205582634467,0.0304208826492534,179.01344465337468,169.55780420397696
1528631715.11,3.2470094270084884,0.06250978867404304,0.014025623401247708,0.026955573337427617,178.46574617962898,169.1350025504693
1528631715.16,2.9765672376693124,0.05530136477120205,0.0165263114439342,0.02814101928893709,178.4850037915595,169.22289713936757
1528631715.21,2.7375302281970124,0.051893230064022695,0.017350059800026338,0.029666355775292273,179.34828104809625,169.59977242457563
1528631715.26,2.3672196129631065,0.05138622842542513,0.01377722801596876,0.028574010788018814,179.6856491163436,169.38406956652835
1528631715.31,2.1703612006595887,0.05825441470743424,0.012631371236926535,0.02873473901026818,180.32086651752292,169.8914183358261
1528631715.36,2.1888535689279327,0.062476920345019074,0.01247630527477495,0.03883809901079511,180.49070356130778,170.3416650459271
1528631715.41,2.562349355317908,0.0650323797385912,0.012255160013492784,0.05111619970618552,180.60330597112372,170.991840865123
1528631715.46,2.7938027305754893,0.06257629902501215,0.014283409324641151,0.0635094744514821,180.0790064722004,171.82972801745748
1528631715.51,2.9635519187290416,0.058669274739484266,0.026823331563278225,0.07800667708212788,179.95553475743407,172.4965169715329
1528631715.56,3.0217484193304784,0.050676860333848335,0.049077123956516415,0.10259003452423619,180.38096408048335,172.52140313200002
1528631715.61,3.1382155104838745,0.04655715491662088,0.08010998802125258,0.11594385211223115,180.2797618351048,172.84004881985166
1528631715.66,2.9889874974551702,0.04711388354546007,0.11484536228873413,0.1383437931124755,179.6995347219007,172.3493799570313
1528631715.71,3.1261969644619203,0.050734438731664055,0.14635399429413493,0.1513732411165288,179.35568958550317,172.09377158996637
1528631715.76,3.4495554228637033,0.0523381418467852,0.16854331505446135,0.1500003866696774,179.12787331848554,171.72174673432139
1528631715.81,3.85955337995009,0.052320328518076185,0.1851539526798843,0.14884894293781198,178.25173019896943,170.50391353870563
1528631715.86,4.175163715177512,0.058486031679612416,0.19143227340443153,0.17592530659704309,178.11625684945116,170.23090318746011
1528631715.91,4.216626473855518,0.05798618579019004,0.19508143978685724,0.1764293518344538,179.13237173802148,170.28330821133952
1528631715.96,4.351593148481521,0.05482136958968835,0.19659152836639293,0.17546400536976461,179.68381177824733,169.56924725823725
1528631716.01,4.367771993597911,0.050607676486744316,0.1882510584827416,0.18934502653163507,179.6566090402743,169.35650233901922
1528631716.06,4.553254000412454,0.050567467857750244,0.17683593467283515,0.18711725501921772,179.98341382407847,169.70216077460594
1528631716.11,4.721323679539574,0.043071273302776825,0.16847626092227724,0.15719064025648197,180.52191780375333,169.59893106640115
1528631716.16,4.990728113495462,0.042909925509100964,0.1631720632748874,0.13929091360349324,180.32635929172204,169.7665147358167
1528631716.21,4.713979177647487,0.04870056515954841,0.15515851100928488,0.13110081065770504,180.32601110098562,170.66536634903122
1528631716.26,4.697712782747655,0.05319597212583254,0.1558935254382978,0.1500545385149201,180.24362275145307,170.7791334112054
1528631716.31,4.517386008296418,0.05746137205060886,0.1678431721187699,0.1517280889110491,179.90045532001926,172.12665588504154
1528631716.36,4.262286162988804,0.05648049832866353,0.19270093225006443,0.1653877605232564,179.66325410854432,171.8948857728583
1528631716.41,4.137126563764688,0.06017611091063798,0.21407205229686266,0.19142121156049474,179.91674167155858,171.65647463192147
1528631716.46,4.428485799227705,0.06329116460159165,0.23075782961236357,0.20589016702449714,180.18002433725442,171.325672499826
1528631716.51,4.467402708150157,0.06219751809726766,0.2517175608330144,0.20003510519326115,180.4681907259125,172.01267090631978
1528631716.56,4.7100162142853135,0.05826186212194104,0.2586693300008367,0.22048646280934592,181.08577309543483,172.361350842662
1528631716.61,4.939213718090018,0.06230667456292397,0.2565768836289227,0.23322557410737238,181.0615041797728,174.04713621585145
1528631716.66,4.9303485539956755,0.06514236683594168,0.24215887474463288,0.2530376565828473,180.75256866956366,174.07351271299123
