,robotiq_force_sensor.wrench.force.norm,robotiq_force_sensor.wrench.torque.norm,baxter_enpoint_pose.twist.linear.norm,baxter_enpoint_pose.twist.angular.norm,tactile_static_data.left.std,tactile_static_data.right.std
1528708608.49,1.6799668770216791,0.07852967384807816,0.013308411022091923,0.024330434619845014,20.935150680230766,17.48311255556295
1528708608.54,1.768809156740816,0.07622563373983195,0.014424333187454976,0.025172627406925066,21.127411645593373,17.621966110485783
1528708608.59,1.4563480879934774,0.07475915906945263,0.013326239502217218,0.01976018096443473,20.88527627286893,17.018140422182157
1528708608.64,1.5785096060444594,0.07235618746751878,0.014443046393435974,0.023668443172426487,20.42142054924546,16.54495974471893
1528708608.69,1.8194724711088348,0.0699125558062004,0.014852851137213933,0.0256428270700828,18.629672766617894,16.223906157712136
1528708608.74,1.850086343154795,0.07559358070976074,0.01660497988275687,0.025807072349532358,17.72901815219975,16.203972904010644
1528708608.79,1.9575149457958188,0.0752605259198756,0.018605913811072662,0.031736492259726475,17.77919922282141,15.975922682662821
1528708608.84,2.0898659343814097,0.0757849081300056,0.017355695073741073,0.031884408275009754,17.190414815775465,16.598873054389536
1528708608.89,2.174757522784768,0.07567400060401741,0.015197832257719432,0.02896213581487679,17.487874353082294,16.72346315402961
1528708608.94,2.0611501579259035,0.07959908915403839,0.018347768660258057,0.03394226511270653,16.759110307162203,16.19078727726232
1528708608.99,2.1499372437530946,0.08022151751559552,0.017781612567023354,0.03300206863277116,16.34976893474113,15.364412496131969
1528708609.04,2.0153162962538316,0.08335949939817738,0.01457025895997798,0.027937417717605394,15.783684863456076,14.72296792992594
1528708609.09,2.031400647353026,0.08467209102287018,0.016049822103793597,0.029248935159399813,15.483080494325135,13.57451132426325
1528708609.14,1.884943221435983,0.08666718067478177,0.020728952520857886,0.0380175360490051,16.17552788552978,13.209089249542155
1528708609.19,1.6523960334373817,0.08556683381375696,0.01749568269072581,0.032823344874930306,19.065648609699103,12.773976003742161
1528708609.24,1.380386361792247,0.08770426473683572,0.015432027471857073,0.031233554811922276,20.753842638616494,12.254843327950995
1528708609.29,1.403633858941469,0.09123065877788573,0.018981807444337213,0.03640921039898104,21.997083868266486,12.18408688799129
1528708609.34,1.328147532044958,0.09050633596492343,0.020356634404463017,0.03651265028164614,21.781537798843324,12.887629661362041
1528708609.39,1.2574655217476394,0.08955128077749631,0.02017454198118091,0.032251513621806484,21.44784930170691,13.293730061123224
1528708609.44,1.2960821710474497,0.09112728377549346,0.021606101427757162,0.034293428382068135,19.646345149908676,14.325354168966669
1528708609.49,1.1932239843106973,0.08426804555964883,0.025145469360802048,0.03786758421829563,19.07858025743088,14.860995326187503
1528708609.54,1.2034600321538809,0.08096423574347074,0.020991075993066516,0.029723078596586978,18.511692798918812,15.450206215647897
1528708609.59,1.2670016316413848,0.08363790676415309,0.020100807802895772,0.026941930558537476,19.168983146847744,15.801249336471425
1528708609.64,1.3862881690280657,0.0824021911800358,0.017462498424432902,0.0249998845991497,19.475978180930856,16.078462403024275
1528708609.69,1.389432635726855,0.08256234511551155,0.016373988026876566,0.022452586275698475,20.289980120200827,16.160213417765224
1528708609.74,1.3363544050445815,0.08599608317044395,0.01291974228126317,0.021453537412881828,19.95294917137138,16.612862610803365
1528708609.79,1.1682311081045602,0.0858765165795517,0.014775066341191077,0.024435196450342755,20.826671574038603,17.639029943177757
1528708609.84,1.055249057182924,0.08668225786000175,0.01233982305601534,0.02364846967533279,21.27949564339611,17.45662063488612
1528708609.89,1.0093624317109942,0.09005208748377283,0.009557873654443867,0.020384043177730096,21.912601736016143,17.752767490480963
1528708609.94,0.9804888592064196,0.08852384351365883,0.007631713741913492,0.020261029105511898,22.044863479472678,18.26574226728817
1528708609.99,1.1382803921298608,0.085571595677161,0.009074249735768494,0.019878024747359446,22.972633203015086,18.191410401149106
1528708610.04,1.304779263395137,0.08762048011836138,0.008154211717522354,0.01924481677009792,23.013672897854697,17.29323547998381
1528708610.09,1.3453142007008618,0.0834257433586828,0.008244062529296934,0.017640282433332374,22.823757424798547,16.976161483473735
